id,scientificName,taxonRank,kingdom,family,vernacularName,individualCount,lifeStage,longitudeDecimal,latitudeDecimal,continent,country,locality,references,eventDate,year
99979296@OBS,Haliaeetus leucocephalus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,1,unknown,-125.297791957,50.0381751309,North America,Canada,Elk Falls Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.99979296,2010-09-18,2010
99979195@OBS,Haliaeetus leucocephalus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,1,unknown,-125.217010975,50.0421680033,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99979195,2010-09-18,2010
99979096@OBS,Larus californicus,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,California Gull,1,unknown,-125.197248459,49.9993738855,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99979096,2010-09-17,2010
99979092@OBS,Larus glaucescens,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous-winged Gull,1,unknown,-125.197248459,49.9993738855,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99979092,2010-09-17,2010
99979076@OBS,Haliaeetus leucocephalus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,1,adult,-125.197248459,49.9993738855,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99979076,2010-09-17,2010
99978941@OBS,Colaptes auratus,species,Animalia,WOODPECKERS_PICIDAE,Northern Flicker,3,unknown,-125.202627182,50.0949362198,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99978941,2010-09-17,2010
99978908@OBS,Larus californicus,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,California Gull,1,unknown,-125.207347873,50.1081905335,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.99978908,2010-09-17,2010
99978901@OBS,Larus glaucescens,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous-winged Gull,1,unknown,-125.207347873,50.1081905335,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.99978901,2010-09-17,2010
99978633@OBS,Troglodytes pacificus,species,Animalia,WRENS_TROGLODYTIDAE,Pacific Wren,1,unknown,-124.662866593,49.2908664147,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99978633,2010-09-16,2010
99977883@OBS,Haliaeetus leucocephalus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,1,unknown,-125.646886826,49.1104689392,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99977883,2010-09-15,2010
99977556@OBS,Larus californicus,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,California Gull,1,unknown,-125.933761604,49.1155609103,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99977556,2010-09-14,2010
99977523@OBS,Enhydra lutris,species,Animalia,WEASELS_AND_RELATIVES_MUSTELIDAE,Sea Otter,1,unknown,-125.933761604,49.1155609103,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99977523,2010-09-14,2010
99977522@OBS,Eumetopias jubatus,species,Animalia,FUR_SEALS_OTARIIDAE,Steller Sea Lion,30,unknown,-125.933761604,49.1155609103,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99977522,2010-09-14,2010
99977520@OBS,Phoca vitulina,species,Animalia,SEALS_PHOCIDAE,Harbour Seal,50,unknown,-125.933761604,49.1155609103,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99977520,2010-09-14,2010
99977509@OBS,Orcinus orca,species,Animalia,DOLPHINS_DELPHINIDAE,Killer Whale,4,unknown,-125.907669074,49.2558102126,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99977509,2010-09-14,2010
99977474@OBS,Haliaeetus leucocephalus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,3,unknown,-125.899086006,49.1645250136,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99977474,2010-09-14,2010
99976062@OBS,Ursus americanus,species,Animalia,BEARS_URSIDAE,American Black Bear,1,unknown,-125.813698767,49.0873246871,North America,Canada,Pacific Rim National Park Reserve of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.99976062,2010-09-12,2010
99976034@OBS,Enhydra lutris,species,Animalia,WEASELS_AND_RELATIVES_MUSTELIDAE,Sea Otter,1,unknown,-125.933074958,49.1112911048,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99976034,2010-09-13,2010
99976030@OBS,Phoca vitulina,species,Animalia,SEALS_PHOCIDAE,Harbour Seal,20,unknown,-125.933074958,49.1112911048,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99976030,2010-09-13,2010
99976024@OBS,Eumetopias jubatus,species,Animalia,FUR_SEALS_OTARIIDAE,Steller Sea Lion,30,unknown,-125.933074958,49.1112911048,North America,Canada,Vancouver Island,https://data.biodiversitydata.nl/obsint/observation/OBS.99976024,2010-09-13,2010
99975844@OBS,Troglodytes pacificus,species,Animalia,WRENS_TROGLODYTIDAE,Pacific Wren,1,unknown,-125.705816746,49.0437681461,North America,Canada,Pacific Rim National Park Reserve of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.99975844,2010-09-13,2010
